Instance,Job,Operation,Machine,Start,End
tai15_15.txt - Instance 1,4,12,11,1184,1236
tai15_15.txt - Instance 1,1,10,0,1082,1100
tai15_15.txt - Instance 1,12,9,4,1156,1236
tai15_15.txt - Instance 1,2,10,7,1269,1351
tai15_15.txt - Instance 1,7,12,9,1180,1183
tai15_15.txt - Instance 1,9,10,1,1227,1296
tai15_15.txt - Instance 1,0,12,5,1256,1352
tai15_15.txt - Instance 1,8,11,7,1351,1359
tai15_15.txt - Instance 1,14,12,2,1312,1395
tai15_15.txt - Instance 1,10,10,3,1191,1281
tai15_15.txt - Instance 1,13,8,12,1178,1241
tai15_15.txt - Instance 1,1,11,3,1281,1332
tai15_15.txt - Instance 1,10,11,1,1296,1389
tai15_15.txt - Instance 1,13,9,7,1359,1377
tai15_15.txt - Instance 1,0,13,0,1352,1422
tai15_15.txt - Instance 1,4,13,0,1422,1464
tai15_15.txt - Instance 1,2,11,10,1351,1371
tai15_15.txt - Instance 1,6,11,10,1371,1395
tai15_15.txt - Instance 1,2,12,4,1371,1410
tai15_15.txt - Instance 1,11,14,4,1410,1497
tai15_15.txt - Instance 1,7,13,6,1183,1240
tai15_15.txt - Instance 1,3,11,8,1241,1297
tai15_15.txt - Instance 1,12,10,1,1389,1437
tai15_15.txt - Instance 1,5,10,10,1395,1445
tai15_15.txt - Instance 1,8,12,9,1359,1425
tai15_15.txt - Instance 1,13,10,11,1377,1394
tai15_15.txt - Instance 1,3,12,12,1297,1324
tai15_15.txt - Instance 1,1,12,12,1332,1350
tai15_15.txt - Instance 1,13,11,10,1445,1475
tai15_15.txt - Instance 1,9,11,12,1350,1395
tai15_15.txt - Instance 1,9,12,14,1395,1477
tai15_15.txt - Instance 1,5,11,0,1464,1551
tai15_15.txt - Instance 1,14,13,9,1425,1445
tai15_15.txt - Instance 1,1,13,1,1437,1536
tai15_15.txt - Instance 1,7,14,10,1475,1482
tai15_15.txt - Instance 1,12,11,11,1437,1527
tai15_15.txt - Instance 1,4,14,3,1464,1560
tai15_15.txt - Instance 1,6,12,0,1551,1588
tai15_15.txt - Instance 1,10,12,11,1527,1533
tai15_15.txt - Instance 1,2,13,3,1560,1595
tai15_15.txt - Instance 1,8,13,13,1425,1513
tai15_15.txt - Instance 1,0,14,1,1536,1619
tai15_15.txt - Instance 1,3,13,1,1619,1711
tai15_15.txt - Instance 1,10,13,9,1533,1568
tai15_15.txt - Instance 1,1,14,2,1536,1569
tai15_15.txt - Instance 1,9,13,4,1497,1503
tai15_15.txt - Instance 1,12,12,12,1527,1602
tai15_15.txt - Instance 1,14,14,5,1445,1542
tai15_15.txt - Instance 1,5,12,9,1568,1630
tai15_15.txt - Instance 1,13,12,3,1595,1611
tai15_15.txt - Instance 1,2,14,14,1595,1663
tai15_15.txt - Instance 1,10,14,2,1569,1642
tai15_15.txt - Instance 1,6,13,13,1588,1675
tai15_15.txt - Instance 1,9,14,5,1542,1555
tai15_15.txt - Instance 1,3,14,3,1711,1720
tai15_15.txt - Instance 1,8,14,3,1720,1735
tai15_15.txt - Instance 1,6,14,9,1675,1741
tai15_15.txt - Instance 1,13,13,2,1642,1649
tai15_15.txt - Instance 1,12,13,7,1602,1698
tai15_15.txt - Instance 1,13,14,0,1649,1684
tai15_15.txt - Instance 1,5,13,6,1630,1644
tai15_15.txt - Instance 1,12,14,14,1698,1742
tai15_15.txt - Instance 1,5,14,8,1644,1674
tai15_15.txt - Instance 2,3,0,9,0,13
tai15_15.txt - Instance 2,12,0,8,0,28
tai15_15.txt - Instance 2,1,0,10,0,68
tai15_15.txt - Instance 2,10,0,11,0,35
tai15_15.txt - Instance 2,10,1,14,35,77
tai15_15.txt - Instance 2,14,0,1,0,36
tai15_15.txt - Instance 2,3,1,11,35,49
tai15_15.txt - Instance 2,1,1,8,68,96
tai15_15.txt - Instance 2,6,0,5,0,50
tai15_15.txt - Instance 2,9,0,2,0,5
tai15_15.txt - Instance 2,13,0,2,5,16
tai15_15.txt - Instance 2,2,0,7,0,33
tai15_15.txt - Instance 2,5,0,5,50,112
tai15_15.txt - Instance 2,2,1,0,33,100
tai15_15.txt - Instance 2,0,0,9,13,99
tai15_15.txt - Instance 2,4,0,11,49,142
tai15_15.txt - Instance 2,8,0,11,142,235
tai15_15.txt - Instance 2,13,1,5,112,205
tai15_15.txt - Instance 2,2,2,6,100,196
tai15_15.txt - Instance 2,14,1,10,68,166
tai15_15.txt - Instance 2,7,0,12,0,60
tai15_15.txt - Instance 2,11,0,12,60,83
tai15_15.txt - Instance 2,4,1,4,142,194
tai15_15.txt - Instance 2,4,2,13,194,257
tai15_15.txt - Instance 2,6,1,10,166,234
tai15_15.txt - Instance 2,12,1,13,257,288
tai15_15.txt - Instance 2,4,3,3,257,270
tai15_15.txt - Instance 2,11,1,3,270,302
tai15_15.txt - Instance 2,13,2,4,205,232
tai15_15.txt - Instance 2,7,1,0,100,164
tai15_15.txt - Instance 2,1,2,11,235,273
tai15_15.txt - Instance 2,9,1,14,77,112
tai15_15.txt - Instance 2,10,2,13,288,350
tai15_15.txt - Instance 2,0,1,14,112,172
tai15_15.txt - Instance 2,3,2,14,172,245
tai15_15.txt - Instance 2,5,1,2,112,172
tai15_15.txt - Instance 2,4,4,8,270,289
tai15_15.txt - Instance 2,12,2,5,288,291
tai15_15.txt - Instance 2,11,2,10,302,337
tai15_15.txt - Instance 2,1,3,14,273,309
tai15_15.txt - Instance 2,4,5,1,289,330
tai15_15.txt - Instance 2,10,3,5,350,418
tai15_15.txt - Instance 2,14,2,4,232,270
tai15_15.txt - Instance 2,8,1,10,337,383
tai15_15.txt - Instance 2,3,3,0,245,333
tai15_15.txt - Instance 2,6,2,13,350,440
tai15_15.txt - Instance 2,2,3,5,418,509
tai15_15.txt - Instance 2,7,2,9,164,256
tai15_15.txt - Instance 2,1,4,3,309,402
tai15_15.txt - Instance 2,5,2,1,330,423
tai15_15.txt - Instance 2,4,6,10,383,454
tai15_15.txt - Instance 2,3,4,1,423,447
tai15_15.txt - Instance 2,9,2,3,402,423
tai15_15.txt - Instance 2,13,3,3,423,482
tai15_15.txt - Instance 2,5,3,10,454,470
tai15_15.txt - Instance 2,13,4,9,482,544
tai15_15.txt - Instance 2,10,4,4,418,491
tai15_15.txt - Instance 2,11,3,8,337,347
tai15_15.txt - Instance 2,8,2,5,509,560
tai15_15.txt - Instance 2,0,2,4,491,501
tai15_15.txt - Instance 2,14,3,2,270,294
tai15_15.txt - Instance 2,13,5,1,544,567
tai15_15.txt - Instance 2,5,4,0,470,480
tai15_15.txt - Instance 2,12,3,0,480,508
tai15_15.txt - Instance 2,10,5,9,544,571
tai15_15.txt - Instance 2,7,3,3,482,526
tai15_15.txt - Instance 2,11,4,4,501,530
tai15_15.txt - Instance 2,6,3,0,508,542
tai15_15.txt - Instance 2,1,5,13,440,475
tai15_15.txt - Instance 2,6,4,9,571,615
tai15_15.txt - Instance 2,6,5,8,615,620
tai15_15.txt - Instance 2,9,3,10,470,484
tai15_15.txt - Instance 2,3,5,8,620,636
tai15_15.txt - Instance 2,7,4,13,526,589
tai15_15.txt - Instance 2,5,5,4,530,602
tai15_15.txt - Instance 2,2,4,14,509,592
tai15_15.txt - Instance 2,14,4,0,542,626
tai15_15.txt - Instance 2,5,6,8,636,724
tai15_15.txt - Instance 2,7,5,6,589,680
tai15_15.txt - Instance 2,4,7,12,454,513
tai15_15.txt - Instance 2,13,6,11,567,590
tai15_15.txt - Instance 2,10,6,1,571,623
tai15_15.txt - Instance 2,0,3,13,589,648
tai15_15.txt - Instance 2,8,3,13,648,685
tai15_15.txt - Instance 2,1,6,9,615,652
tai15_15.txt - Instance 2,11,5,7,530,598
tai15_15.txt - Instance 2,14,5,7,626,673
tai15_15.txt - Instance 2,12,4,11,590,656
tai15_15.txt - Instance 2,6,6,1,623,631
tai15_15.txt - Instance 2,5,7,14,724,793
tai15_15.txt - Instance 2,3,6,5,636,714
tai15_15.txt - Instance 2,0,4,10,648,713
tai15_15.txt - Instance 2,9,4,6,680,746
tai15_15.txt - Instance 2,4,8,2,513,532
tai15_15.txt - Instance 2,11,6,13,685,705
tai15_15.txt - Instance 2,6,7,11,656,681
tai15_15.txt - Instance 2,10,7,6,746,785
tai15_15.txt - Instance 2,14,6,6,785,857
tai15_15.txt - Instance 2,7,6,5,714,735
tai15_15.txt - Instance 2,1,7,7,673,701
tai15_15.txt - Instance 2,1,8,4,701,763
tai15_15.txt - Instance 2,2,5,13,705,786
tai15_15.txt - Instance 2,1,9,2,763,849
tai15_15.txt - Instance 2,8,4,1,685,776
tai15_15.txt - Instance 2,0,5,3,713,807
tai15_15.txt - Instance 2,10,8,12,785,826
tai15_15.txt - Instance 2,10,9,0,826,851
tai15_15.txt - Instance 2,13,7,13,786,793
tai15_15.txt - Instance 2,3,7,10,714,784
tai15_15.txt - Instance 2,9,5,1,776,779
tai15_15.txt - Instance 2,12,5,9,656,715
tai15_15.txt - Instance 2,5,8,6,857,915
tai15_15.txt - Instance 2,9,6,0,851,857
tai15_15.txt - Instance 2,14,7,9,857,858
tai15_15.txt - Instance 2,1,10,6,915,980
tai15_15.txt - Instance 2,0,6,7,807,878
tai15_15.txt - Instance 2,4,9,14,793,853
tai15_15.txt - Instance 2,6,8,14,853,923
tai15_15.txt - Instance 2,2,6,2,849,909
tai15_15.txt - Instance 2,13,8,7,878,955
tai15_15.txt - Instance 2,11,7,11,705,713
tai15_15.txt - Instance 2,10,10,2,909,918
tai15_15.txt - Instance 2,12,6,4,763,787
tai15_15.txt - Instance 2,5,9,3,915,956
tai15_15.txt - Instance 2,6,9,7,955,1008
tai15_15.txt - Instance 2,7,7,7,1008,1009
tai15_15.txt - Instance 2,1,11,1,980,991
tai15_15.txt - Instance 2,5,10,9,956,1002
tai15_15.txt - Instance 2,11,8,14,923,981
tai15_15.txt - Instance 2,11,9,1,991,1053
tai15_15.txt - Instance 2,5,11,7,1009,1072
tai15_15.txt - Instance 2,13,9,6,980,1044
tai15_15.txt - Instance 2,0,7,8,878,903
tai15_15.txt - Instance 2,10,11,8,918,952
tai15_15.txt - Instance 2,11,10,2,1053,1092
tai15_15.txt - Instance 2,4,10,6,1044,1129
tai15_15.txt - Instance 2,2,7,11,909,997
tai15_15.txt - Instance 2,8,5,9,1002,1092
tai15_15.txt - Instance 2,14,8,11,997,1088
tai15_15.txt - Instance 2,7,8,2,1092,1188
tai15_15.txt - Instance 2,0,8,0,903,1001
tai15_15.txt - Instance 2,9,7,13,857,955
tai15_15.txt - Instance 2,4,11,7,1129,1228
tai15_15.txt - Instance 2,3,8,12,826,879
tai15_15.txt - Instance 2,6,10,12,1008,1086
tai15_15.txt - Instance 2,12,7,12,1086,1131
tai15_15.txt - Instance 2,14,9,12,1131,1216
tai15_15.txt - Instance 2,5,12,11,1088,1164
tai15_15.txt - Instance 2,13,10,10,1044,1104
tai15_15.txt - Instance 2,8,6,8,1092,1155
tai15_15.txt - Instance 2,7,9,14,1188,1207
tai15_15.txt - Instance 2,3,9,4,879,947
tai15_15.txt - Instance 2,1,12,5,991,1011
tai15_15.txt - Instance 2,14,10,5,1216,1284
tai15_15.txt - Instance 2,3,10,13,955,1028
tai15_15.txt - Instance 2,2,8,4,997,1017
tai15_15.txt - Instance 2,10,12,10,1104,1154
tai15_15.txt - Instance 2,11,11,0,1092,1124
tai15_15.txt - Instance 2,8,7,7,1228,1268
tai15_15.txt - Instance 2,14,11,14,1284,1326
tai15_15.txt - Instance 2,0,9,5,1284,1333
tai15_15.txt - Instance 2,9,8,11,1164,1227
tai15_15.txt - Instance 2,9,9,4,1227,1291
tai15_15.txt - Instance 2,4,12,0,1228,1301
tai15_15.txt - Instance 2,12,8,1,1131,1212
tai15_15.txt - Instance 2,3,11,3,1028,1118
tai15_15.txt - Instance 2,6,11,2,1188,1280
tai15_15.txt - Instance 2,4,13,9,1301,1396
tai15_15.txt - Instance 2,13,11,14,1326,1423
tai15_15.txt - Instance 2,1,13,12,1216,1298
tai15_15.txt - Instance 2,2,9,12,1298,1360
tai15_15.txt - Instance 2,5,13,12,1360,1443
tai15_15.txt - Instance 2,9,10,5,1333,1409
tai15_15.txt - Instance 2,3,12,6,1129,1187
tai15_15.txt - Instance 2,14,12,3,1326,1346
tai15_15.txt - Instance 2,4,14,5,1409,1428
tai15_15.txt - Instance 2,7,10,11,1227,1286
tai15_15.txt - Instance 2,6,12,6,1280,1342
tai15_15.txt - Instance 2,3,13,7,1268,1275
tai15_15.txt - Instance 2,12,9,10,1212,1220
tai15_15.txt - Instance 2,1,14,0,1301,1324
tai15_15.txt - Instance 2,14,13,13,1346,1376
tai15_15.txt - Instance 2,13,12,0,1423,1459
tai15_15.txt - Instance 2,10,13,3,1346,1387
tai15_15.txt - Instance 2,8,8,3,1387,1455
tai15_15.txt - Instance 2,3,14,2,1280,1284
tai15_15.txt - Instance 2,11,12,5,1428,1436
tai15_15.txt - Instance 2,2,10,1,1360,1382
tai15_15.txt - Instance 2,0,10,1,1382,1425
tai15_15.txt - Instance 2,5,14,13,1443,1505
tai15_15.txt - Instance 2,2,11,9,1396,1475
tai15_15.txt - Instance 2,6,13,4,1342,1427
tai15_15.txt - Instance 2,9,11,8,1409,1503
tai15_15.txt - Instance 2,10,14,7,1387,1485
tai15_15.txt - Instance 2,13,13,8,1503,1556
tai15_15.txt - Instance 2,8,9,6,1455,1468
tai15_15.txt - Instance 2,7,11,8,1556,1568
tai15_15.txt - Instance 2,14,14,8,1568,1598
tai15_15.txt - Instance 2,12,10,6,1468,1512
tai15_15.txt - Instance 2,2,12,3,1475,1513
tai15_15.txt - Instance 2,8,10,0,1468,1484
tai15_15.txt - Instance 2,0,11,2,1425,1433
tai15_15.txt - Instance 2,9,12,7,1503,1520
tai15_15.txt - Instance 2,11,13,6,1512,1545
tai15_15.txt - Instance 2,7,12,10,1568,1609
tai15_15.txt - Instance 2,12,11,2,1512,1554
tai15_15.txt - Instance 2,6,14,3,1513,1583
tai15_15.txt - Instance 2,8,11,2,1554,1637
tai15_15.txt - Instance 2,11,14,9,1545,1636
tai15_15.txt - Instance 2,0,12,12,1443,1533
tai15_15.txt - Instance 2,9,13,12,1533,1595
tai15_15.txt - Instance 2,13,14,12,1595,1667
tai15_15.txt - Instance 2,2,13,10,1609,1649
tai15_15.txt - Instance 2,12,12,7,1554,1556
tai15_15.txt - Instance 2,0,13,6,1545,1566
tai15_15.txt - Instance 2,9,14,9,1636,1673
tai15_15.txt - Instance 2,8,12,14,1637,1686
tai15_15.txt - Instance 2,7,13,1,1609,1620
tai15_15.txt - Instance 2,2,14,8,1649,1731
tai15_15.txt - Instance 2,7,14,4,1620,1714
tai15_15.txt - Instance 2,8,13,12,1686,1710
tai15_15.txt - Instance 2,12,13,14,1686,1709
tai15_15.txt - Instance 2,0,14,11,1566,1639
tai15_15.txt - Instance 2,8,14,4,1714,1737
tai15_15.txt - Instance 2,12,14,3,1709,1762
tai15_15.txt - Instance 3,3,0,13,0,33
tai15_15.txt - Instance 3,13,0,13,33,43
tai15_15.txt - Instance 3,14,0,1,0,73
tai15_15.txt - Instance 3,8,0,14,0,69
tai15_15.txt - Instance 3,11,0,0,0,78
tai15_15.txt - Instance 3,10,0,7,0,36
tai15_15.txt - Instance 3,9,0,9,0,27
tai15_15.txt - Instance 3,7,0,4,0,12
tai15_15.txt - Instance 3,13,1,2,43,129
tai15_15.txt - Instance 3,7,1,7,36,110
tai15_15.txt - Instance 3,2,0,1,73,135
tai15_15.txt - Instance 3,14,1,13,73,85
tai15_15.txt - Instance 3,8,1,11,69,82
tai15_15.txt - Instance 3,6,0,5,0,29
tai15_15.txt - Instance 3,5,0,5,29,112
tai15_15.txt - Instance 3,5,1,14,112,144
tai15_15.txt - Instance 3,4,0,1,135,171
tai15_15.txt - Instance 3,12,0,8,0,38
tai15_15.txt - Instance 3,1,0,12,0,83
tai15_15.txt - Instance 3,11,1,8,78,136
tai15_15.txt - Instance 3,3,1,10,33,115
tai15_15.txt - Instance 3,0,0,7,110,179
tai15_15.txt - Instance 3,2,1,2,135,182
tai15_15.txt - Instance 3,10,1,2,182,199
tai15_15.txt - Instance 3,9,1,0,78,82
tai15_15.txt - Instance 3,14,2,0,85,99
tai15_15.txt - Instance 3,9,2,3,82,117
tai15_15.txt - Instance 3,4,1,8,171,220
tai15_15.txt - Instance 3,9,3,10,117,197
tai15_15.txt - Instance 3,5,2,2,199,205
tai15_15.txt - Instance 3,13,2,11,129,222
tai15_15.txt - Instance 3,9,4,12,197,246
tai15_15.txt - Instance 3,0,1,11,222,303
tai15_15.txt - Instance 3,3,2,6,115,195
tai15_15.txt - Instance 3,2,2,9,182,275
tai15_15.txt - Instance 3,1,1,1,171,222
tai15_15.txt - Instance 3,7,2,10,197,201
tai15_15.txt - Instance 3,12,1,12,246,332
tai15_15.txt - Instance 3,8,2,0,99,132
tai15_15.txt - Instance 3,4,2,4,220,230
tai15_15.txt - Instance 3,10,2,1,222,303
tai15_15.txt - Instance 3,5,3,12,332,345
tai15_15.txt - Instance 3,6,1,2,205,283
tai15_15.txt - Instance 3,11,2,14,144,206
tai15_15.txt - Instance 3,9,5,13,246,292
tai15_15.txt - Instance 3,1,2,11,303,350
tai15_15.txt - Instance 3,8,3,9,275,322
tai15_15.txt - Instance 3,2,3,0,275,329
tai15_15.txt - Instance 3,13,3,0,329,392
tai15_15.txt - Instance 3,0,2,8,303,384
tai15_15.txt - Instance 3,10,3,12,345,412
tai15_15.txt - Instance 3,12,2,10,332,370
tai15_15.txt - Instance 3,4,3,14,230,273
tai15_15.txt - Instance 3,1,3,9,350,365
tai15_15.txt - Instance 3,3,3,2,283,313
tai15_15.txt - Instance 3,1,4,6,365,454
tai15_15.txt - Instance 3,14,3,11,350,421
tai15_15.txt - Instance 3,7,3,1,303,306
tai15_15.txt - Instance 3,6,2,0,392,413
tai15_15.txt - Instance 3,6,3,1,413,440
tai15_15.txt - Instance 3,5,4,10,370,457
tai15_15.txt - Instance 3,12,3,11,421,459
tai15_15.txt - Instance 3,3,4,14,313,409
tai15_15.txt - Instance 3,3,5,7,409,440
tai15_15.txt - Instance 3,11,3,12,412,455
tai15_15.txt - Instance 3,9,6,5,292,376
tai15_15.txt - Instance 3,12,4,14,459,542
tai15_15.txt - Instance 3,8,4,10,457,543
tai15_15.txt - Instance 3,4,4,6,454,523
tai15_15.txt - Instance 3,2,4,3,329,367
tai15_15.txt - Instance 3,13,4,14,542,603
tai15_15.txt - Instance 3,0,3,3,384,446
tai15_15.txt - Instance 3,13,5,10,603,665
tai15_15.txt - Instance 3,10,4,3,446,493
tai15_15.txt - Instance 3,11,4,9,455,456
tai15_15.txt - Instance 3,1,5,3,493,569
tai15_15.txt - Instance 3,7,4,9,456,471
tai15_15.txt - Instance 3,14,4,2,421,424
tai15_15.txt - Instance 3,4,5,5,523,595
tai15_15.txt - Instance 3,5,5,1,457,551
tai15_15.txt - Instance 3,8,5,5,595,626
tai15_15.txt - Instance 3,9,7,1,551,597
tai15_15.txt - Instance 3,3,6,4,440,451
tai15_15.txt - Instance 3,6,4,8,440,457
tai15_15.txt - Instance 3,4,6,3,595,614
tai15_15.txt - Instance 3,5,6,11,551,587
tai15_15.txt - Instance 3,12,5,3,614,650
tai15_15.txt - Instance 3,6,5,14,603,646
tai15_15.txt - Instance 3,13,6,3,665,740
tai15_15.txt - Instance 3,11,5,5,626,682
tai15_15.txt - Instance 3,7,5,8,471,533
tai15_15.txt - Instance 3,4,7,2,614,679
tai15_15.txt - Instance 3,5,7,4,587,663
