Instance,Job,Operation,Machine,Start,End
tai15_15.txt - Instance 1,5,5,4,378,409
tai15_15.txt - Instance 1,10,5,12,475,555
tai15_15.txt - Instance 1,1,4,13,353,410
tai15_15.txt - Instance 1,14,3,6,584,618
tai15_15.txt - Instance 1,0,6,10,393,458
tai15_15.txt - Instance 1,8,6,2,402,484
tai15_15.txt - Instance 1,8,7,5,484,567
tai15_15.txt - Instance 1,9,4,8,333,374
tai15_15.txt - Instance 1,1,5,8,410,488
tai15_15.txt - Instance 1,10,6,6,618,707
tai15_15.txt - Instance 1,8,8,12,567,645
tai15_15.txt - Instance 1,14,4,4,618,655
tai15_15.txt - Instance 1,6,4,14,353,444
tai15_15.txt - Instance 1,5,6,14,444,509
tai15_15.txt - Instance 1,5,7,7,509,592
tai15_15.txt - Instance 1,2,6,13,468,489
tai15_15.txt - Instance 1,4,6,2,484,579
tai15_15.txt - Instance 1,7,5,13,489,524
tai15_15.txt - Instance 1,14,5,1,655,681
tai15_15.txt - Instance 1,10,7,8,707,756
tai15_15.txt - Instance 1,11,5,10,495,498
tai15_15.txt - Instance 1,0,7,11,468,550
tai15_15.txt - Instance 1,14,6,13,681,749
tai15_15.txt - Instance 1,6,5,6,707,775
tai15_15.txt - Instance 1,8,9,4,655,711
tai15_15.txt - Instance 1,3,4,10,498,551
tai15_15.txt - Instance 1,13,6,9,584,643
tai15_15.txt - Instance 1,12,5,6,775,808
tai15_15.txt - Instance 1,1,6,11,550,558
tai15_15.txt - Instance 1,1,7,9,643,650
tai15_15.txt - Instance 1,2,7,5,567,573
tai15_15.txt - Instance 1,4,7,14,579,678
tai15_15.txt - Instance 1,9,5,0,374,391
tai15_15.txt - Instance 1,7,6,14,678,777
tai15_15.txt - Instance 1,7,7,1,777,839
tai15_15.txt - Instance 1,3,5,0,551,645
tai15_15.txt - Instance 1,5,8,2,592,670
tai15_15.txt - Instance 1,2,8,0,645,699
tai15_15.txt - Instance 1,8,10,8,756,841
tai15_15.txt - Instance 1,4,8,12,678,757
tai15_15.txt - Instance 1,11,6,7,592,676
tai15_15.txt - Instance 1,14,7,14,777,850
tai15_15.txt - Instance 1,7,8,2,839,845
tai15_15.txt - Instance 1,8,11,7,841,849
tai15_15.txt - Instance 1,6,6,1,839,858
tai15_15.txt - Instance 1,9,6,13,749,815
tai15_15.txt - Instance 1,10,8,14,850,882
tai15_15.txt - Instance 1,4,9,5,757,833
tai15_15.txt - Instance 1,0,8,8,841,851
tai15_15.txt - Instance 1,7,9,8,851,913
tai15_15.txt - Instance 1,13,7,1,858,914
tai15_15.txt - Instance 1,3,6,13,815,873
tai15_15.txt - Instance 1,7,10,4,913,920
tai15_15.txt - Instance 1,3,7,4,920,1013
tai15_15.txt - Instance 1,12,6,9,808,841
tai15_15.txt - Instance 1,1,8,6,808,899
tai15_15.txt - Instance 1,5,9,1,914,940
tai15_15.txt - Instance 1,8,12,9,849,915
tai15_15.txt - Instance 1,9,7,3,815,904
tai15_15.txt - Instance 1,4,10,1,940,1033
tai15_15.txt - Instance 1,13,8,12,914,977
tai15_15.txt - Instance 1,11,7,5,833,867
tai15_15.txt - Instance 1,10,9,10,882,910
tai15_15.txt - Instance 1,3,8,7,1013,1045
tai15_15.txt - Instance 1,14,8,11,850,855
tai15_15.txt - Instance 1,5,10,10,940,990
tai15_15.txt - Instance 1,9,8,10,990,1068
tai15_15.txt - Instance 1,2,9,2,845,913
tai15_15.txt - Instance 1,6,7,11,858,912
tai15_15.txt - Instance 1,10,10,3,910,1000
tai15_15.txt - Instance 1,1,9,10,1068,1147
tai15_15.txt - Instance 1,0,9,14,882,909
tai15_15.txt - Instance 1,12,7,0,841,918
tai15_15.txt - Instance 1,2,10,7,1045,1127
tai15_15.txt - Instance 1,7,11,3,1000,1080
tai15_15.txt - Instance 1,10,11,1,1033,1126
tai15_15.txt - Instance 1,12,8,13,918,968
tai15_15.txt - Instance 1,1,10,0,1147,1165
tai15_15.txt - Instance 1,2,11,10,1147,1167
tai15_15.txt - Instance 1,5,11,0,1165,1252
tai15_15.txt - Instance 1,6,8,4,1013,1098
tai15_15.txt - Instance 1,1,11,3,1165,1216
tai15_15.txt - Instance 1,8,13,13,968,1056
tai15_15.txt - Instance 1,13,9,7,1127,1145
tai15_15.txt - Instance 1,4,11,13,1056,1098
tai15_15.txt - Instance 1,9,9,7,1145,1233
tai15_15.txt - Instance 1,14,9,0,1252,1260
tai15_15.txt - Instance 1,3,9,14,1045,1136
tai15_15.txt - Instance 1,2,12,4,1167,1206
tai15_15.txt - Instance 1,6,9,5,1098,1171
tai15_15.txt - Instance 1,11,8,8,913,941
tai15_15.txt - Instance 1,14,10,7,1260,1272
tai15_15.txt - Instance 1,11,9,9,941,1001
tai15_15.txt - Instance 1,11,10,13,1098,1167
tai15_15.txt - Instance 1,0,10,9,1001,1094
tai15_15.txt - Instance 1,3,10,11,1136,1166
tai15_15.txt - Instance 1,3,11,8,1166,1222
tai15_15.txt - Instance 1,10,12,11,1166,1172
tai15_15.txt - Instance 1,4,12,11,1172,1224
tai15_15.txt - Instance 1,7,12,9,1094,1097
tai15_15.txt - Instance 1,12,9,4,1206,1286
tai15_15.txt - Instance 1,11,11,1,1167,1212
tai15_15.txt - Instance 1,5,12,9,1252,1314
tai15_15.txt - Instance 1,8,14,3,1216,1231
tai15_15.txt - Instance 1,4,13,0,1260,1302
tai15_15.txt - Instance 1,10,13,9,1314,1349
tai15_15.txt - Instance 1,9,10,1,1233,1302
tai15_15.txt - Instance 1,2,13,3,1231,1266
tai15_15.txt - Instance 1,0,11,13,1167,1259
tai15_15.txt - Instance 1,1,12,12,1216,1234
tai15_15.txt - Instance 1,5,13,6,1314,1328
tai15_15.txt - Instance 1,1,13,1,1302,1401
tai15_15.txt - Instance 1,9,11,12,1302,1347
tai15_15.txt - Instance 1,13,10,11,1224,1241
tai15_15.txt - Instance 1,1,14,2,1401,1434
tai15_15.txt - Instance 1,0,12,5,1259,1355
tai15_15.txt - Instance 1,11,12,3,1266,1333
tai15_15.txt - Instance 1,12,10,1,1401,1449
tai15_15.txt - Instance 1,7,13,6,1328,1385
tai15_15.txt - Instance 1,0,13,0,1355,1425
tai15_15.txt - Instance 1,6,10,2,1434,1477
tai15_15.txt - Instance 1,10,14,2,1477,1550
tai15_15.txt - Instance 1,14,11,3,1333,1420
tai15_15.txt - Instance 1,9,12,14,1347,1429
tai15_15.txt - Instance 1,9,13,4,1429,1435
tai15_15.txt - Instance 1,3,12,12,1347,1374
tai15_15.txt - Instance 1,4,14,3,1420,1516
tai15_15.txt - Instance 1,12,11,11,1449,1539
tai15_15.txt - Instance 1,6,11,10,1477,1501
tai15_15.txt - Instance 1,13,11,10,1501,1531
tai15_15.txt - Instance 1,2,14,14,1429,1497
tai15_15.txt - Instance 1,11,13,11,1539,1597
tai15_15.txt - Instance 1,5,14,8,1328,1358
tai15_15.txt - Instance 1,9,14,5,1435,1448
tai15_15.txt - Instance 1,3,13,1,1449,1541
tai15_15.txt - Instance 1,0,14,1,1541,1624
tai15_15.txt - Instance 1,7,14,10,1531,1538
tai15_15.txt - Instance 1,6,12,0,1501,1538
tai15_15.txt - Instance 1,6,13,13,1538,1625
tai15_15.txt - Instance 1,3,14,3,1541,1550
tai15_15.txt - Instance 1,14,12,2,1550,1633
tai15_15.txt - Instance 1,12,12,12,1539,1614
tai15_15.txt - Instance 1,12,13,7,1614,1710
tai15_15.txt - Instance 1,13,12,3,1550,1566
tai15_15.txt - Instance 1,14,13,9,1633,1653
tai15_15.txt - Instance 1,13,13,2,1633,1640
tai15_15.txt - Instance 1,13,14,0,1640,1675
tai15_15.txt - Instance 1,6,14,9,1653,1719
tai15_15.txt - Instance 1,11,14,4,1597,1684
tai15_15.txt - Instance 1,14,14,5,1653,1750
tai15_15.txt - Instance 1,12,14,14,1710,1754
tai15_15.txt - Instance 2,3,0,9,0,13
tai15_15.txt - Instance 2,9,0,2,0,5
tai15_15.txt - Instance 2,12,0,8,0,28
tai15_15.txt - Instance 2,11,0,12,0,23
tai15_15.txt - Instance 2,7,0,12,23,83
tai15_15.txt - Instance 2,1,0,10,0,68
tai15_15.txt - Instance 2,11,1,3,23,55
tai15_15.txt - Instance 2,2,0,7,0,33
tai15_15.txt - Instance 2,14,0,1,0,36
tai15_15.txt - Instance 2,3,1,11,13,27
tai15_15.txt - Instance 2,10,0,11,27,62
tai15_15.txt - Instance 2,10,1,14,62,104
tai15_15.txt - Instance 2,6,0,5,0,50
tai15_15.txt - Instance 2,10,2,13,104,166
tai15_15.txt - Instance 2,7,1,0,83,147
tai15_15.txt - Instance 2,4,0,11,62,155
tai15_15.txt - Instance 2,14,1,10,68,166
tai15_15.txt - Instance 2,9,1,14,104,139
tai15_15.txt - Instance 2,11,2,10,166,201
tai15_15.txt - Instance 2,9,2,3,139,160
tai15_15.txt - Instance 2,4,1,4,155,207
tai15_15.txt - Instance 2,0,0,9,13,99
tai15_15.txt - Instance 2,13,0,2,5,16
tai15_15.txt - Instance 2,5,0,5,50,112
tai15_15.txt - Instance 2,4,2,13,207,270
tai15_15.txt - Instance 2,2,1,0,147,214
tai15_15.txt - Instance 2,10,3,5,166,234
tai15_15.txt - Instance 2,8,0,11,155,248
tai15_15.txt - Instance 2,12,1,13,270,301
tai15_15.txt - Instance 2,3,2,14,139,212
tai15_15.txt - Instance 2,1,1,8,68,96
tai15_15.txt - Instance 2,6,1,10,201,269
tai15_15.txt - Instance 2,7,2,9,147,239
tai15_15.txt - Instance 2,5,1,2,112,172
tai15_15.txt - Instance 2,9,3,10,269,283
tai15_15.txt - Instance 2,9,4,6,283,349
tai15_15.txt - Instance 2,2,2,6,349,445
tai15_15.txt - Instance 2,5,2,1,172,265
tai15_15.txt - Instance 2,11,3,8,201,211
tai15_15.txt - Instance 2,5,3,10,283,299
tai15_15.txt - Instance 2,0,1,14,212,272
tai15_15.txt - Instance 2,8,1,10,299,345
tai15_15.txt - Instance 2,14,2,4,207,245
tai15_15.txt - Instance 2,10,4,4,245,318
tai15_15.txt - Instance 2,13,1,5,234,327
tai15_15.txt - Instance 2,6,2,13,301,391
tai15_15.txt - Instance 2,4,3,3,270,283
tai15_15.txt - Instance 2,3,3,0,214,302
tai15_15.txt - Instance 2,8,2,5,345,396
tai15_15.txt - Instance 2,10,5,9,318,345
tai15_15.txt - Instance 2,5,4,0,302,312
tai15_15.txt - Instance 2,9,5,1,349,352
tai15_15.txt - Instance 2,12,2,5,396,399
tai15_15.txt - Instance 2,1,2,11,248,286
tai15_15.txt - Instance 2,3,4,1,352,376
tai15_15.txt - Instance 2,11,4,4,318,347
tai15_15.txt - Instance 2,6,3,0,391,425
tai15_15.txt - Instance 2,2,3,5,445,536
tai15_15.txt - Instance 2,5,5,4,347,419
tai15_15.txt - Instance 2,4,4,8,283,302
tai15_15.txt - Instance 2,0,2,4,419,429
tai15_15.txt - Instance 2,14,3,2,245,269
tai15_15.txt - Instance 2,9,6,0,425,431
tai15_15.txt - Instance 2,7,3,3,283,327
tai15_15.txt - Instance 2,4,5,1,376,417
tai15_15.txt - Instance 2,6,4,9,425,469
tai15_15.txt - Instance 2,8,3,13,396,433
tai15_15.txt - Instance 2,8,4,1,433,524
tai15_15.txt - Instance 2,13,2,4,429,456
tai15_15.txt - Instance 2,11,5,7,347,415
tai15_15.txt - Instance 2,12,3,0,431,459
tai15_15.txt - Instance 2,4,6,10,417,488
tai15_15.txt - Instance 2,0,3,13,433,492
tai15_15.txt - Instance 2,6,5,8,469,474
tai15_15.txt - Instance 2,3,5,8,474,490
tai15_15.txt - Instance 2,1,3,14,286,322
tai15_15.txt - Instance 2,7,4,13,492,555
tai15_15.txt - Instance 2,10,6,1,524,576
tai15_15.txt - Instance 2,5,6,8,490,578
tai15_15.txt - Instance 2,9,7,13,555,653
tai15_15.txt - Instance 2,12,4,11,459,525
tai15_15.txt - Instance 2,5,7,14,578,647
tai15_15.txt - Instance 2,9,8,11,653,716
tai15_15.txt - Instance 2,9,9,4,716,780
tai15_15.txt - Instance 2,2,4,14,647,730
tai15_15.txt - Instance 2,1,4,3,327,420
tai15_15.txt - Instance 2,11,6,13,653,673
tai15_15.txt - Instance 2,3,6,5,536,614
tai15_15.txt - Instance 2,13,3,3,456,515
tai15_15.txt - Instance 2,14,4,0,459,543
tai15_15.txt - Instance 2,11,7,11,716,724
tai15_15.txt - Instance 2,0,4,10,492,557
tai15_15.txt - Instance 2,8,5,9,524,614
tai15_15.txt - Instance 2,5,8,6,647,705
tai15_15.txt - Instance 2,4,7,12,488,547
tai15_15.txt - Instance 2,12,5,9,614,673
tai15_15.txt - Instance 2,4,8,2,547,566
tai15_15.txt - Instance 2,10,7,6,705,744
tai15_15.txt - Instance 2,11,8,14,730,788
tai15_15.txt - Instance 2,6,6,1,576,584
tai15_15.txt - Instance 2,7,5,6,744,835
tai15_15.txt - Instance 2,5,9,3,705,746
tai15_15.txt - Instance 2,8,6,8,614,677
tai15_15.txt - Instance 2,2,5,13,730,811
tai15_15.txt - Instance 2,1,5,13,811,846
tai15_15.txt - Instance 2,14,5,7,543,590
tai15_15.txt - Instance 2,9,10,5,780,856
tai15_15.txt - Instance 2,10,8,12,744,785
tai15_15.txt - Instance 2,8,7,7,677,717
tai15_15.txt - Instance 2,11,9,1,788,850
tai15_15.txt - Instance 2,5,10,9,746,792
tai15_15.txt - Instance 2,13,4,9,792,854
tai15_15.txt - Instance 2,11,10,2,850,889
tai15_15.txt - Instance 2,14,6,6,835,907
tai15_15.txt - Instance 2,7,6,5,856,877
tai15_15.txt - Instance 2,0,5,3,746,840
tai15_15.txt - Instance 2,9,11,8,856,950
tai15_15.txt - Instance 2,5,11,7,792,855
tai15_15.txt - Instance 2,0,6,7,855,926
tai15_15.txt - Instance 2,3,7,10,614,684
tai15_15.txt - Instance 2,4,9,14,788,848
tai15_15.txt - Instance 2,3,8,12,785,838
tai15_15.txt - Instance 2,12,6,4,780,804
tai15_15.txt - Instance 2,13,5,1,854,877
tai15_15.txt - Instance 2,13,6,11,877,900
tai15_15.txt - Instance 2,6,7,11,900,925
tai15_15.txt - Instance 2,4,10,6,907,992
tai15_15.txt - Instance 2,1,6,9,854,891
tai15_15.txt - Instance 2,2,6,2,889,949
tai15_15.txt - Instance 2,9,12,7,950,967
tai15_15.txt - Instance 2,8,8,3,840,908
tai15_15.txt - Instance 2,9,13,12,967,1029
tai15_15.txt - Instance 2,7,7,7,967,968
tai15_15.txt - Instance 2,4,11,7,992,1091
tai15_15.txt - Instance 2,13,7,13,900,907
tai15_15.txt - Instance 2,9,14,9,1029,1066
tai15_15.txt - Instance 2,3,9,4,838,906
tai15_15.txt - Instance 2,10,9,0,785,810
tai15_15.txt - Instance 2,3,10,13,907,980
tai15_15.txt - Instance 2,4,12,0,1091,1164
tai15_15.txt - Instance 2,8,9,6,992,1005
tai15_15.txt - Instance 2,10,10,2,949,958
tai15_15.txt - Instance 2,5,12,11,925,1001
tai15_15.txt - Instance 2,0,7,8,950,975
tai15_15.txt - Instance 2,14,7,9,1066,1067
tai15_15.txt - Instance 2,1,7,7,1091,1119
tai15_15.txt - Instance 2,11,11,0,1164,1196
tai15_15.txt - Instance 2,6,8,14,925,995
tai15_15.txt - Instance 2,13,8,7,1119,1196
tai15_15.txt - Instance 2,5,13,12,1029,1112
tai15_15.txt - Instance 2,7,8,2,968,1064
tai15_15.txt - Instance 2,12,7,12,1112,1157
tai15_15.txt - Instance 2,6,9,7,1196,1249
tai15_15.txt - Instance 2,8,10,0,1196,1212
tai15_15.txt - Instance 2,7,9,14,1064,1083
tai15_15.txt - Instance 2,11,12,5,1196,1204
tai15_15.txt - Instance 2,4,13,9,1164,1259
tai15_15.txt - Instance 2,2,7,11,1001,1089
tai15_15.txt - Instance 2,3,11,3,980,1070
tai15_15.txt - Instance 2,10,11,8,975,1009
tai15_15.txt - Instance 2,2,8,4,1089,1109
tai15_15.txt - Instance 2,14,8,11,1089,1180
tai15_15.txt - Instance 2,7,10,11,1180,1239
tai15_15.txt - Instance 2,1,8,4,1119,1181
tai15_15.txt - Instance 2,13,9,6,1196,1260
tai15_15.txt - Instance 2,11,13,6,1260,1293
tai15_15.txt - Instance 2,4,14,5,1259,1278
tai15_15.txt - Instance 2,10,12,10,1009,1059
tai15_15.txt - Instance 2,5,14,13,1112,1174
tai15_15.txt - Instance 2,1,9,2,1181,1267
tai15_15.txt - Instance 2,0,8,0,1212,1310
tai15_15.txt - Instance 2,8,11,2,1267,1350
tai15_15.txt - Instance 2,6,10,12,1249,1327
tai15_15.txt - Instance 2,3,12,6,1293,1351
tai15_15.txt - Instance 2,6,11,2,1350,1442
tai15_15.txt - Instance 2,2,9,12,1327,1389
tai15_15.txt - Instance 2,12,8,1,1157,1238
tai15_15.txt - Instance 2,11,14,9,1293,1384
tai15_15.txt - Instance 2,10,13,3,1070,1111
tai15_15.txt - Instance 2,7,11,8,1239,1251
tai15_15.txt - Instance 2,13,10,10,1260,1320
tai15_15.txt - Instance 2,14,9,12,1389,1474
tai15_15.txt - Instance 2,10,14,7,1249,1347
tai15_15.txt - Instance 2,1,10,6,1351,1416
tai15_15.txt - Instance 2,13,11,14,1320,1417
tai15_15.txt - Instance 2,12,9,10,1320,1328
tai15_15.txt - Instance 2,2,10,1,1389,1411
tai15_15.txt - Instance 2,12,10,6,1416,1460
tai15_15.txt - Instance 2,0,9,5,1310,1359
tai15_15.txt - Instance 2,8,12,14,1417,1466
tai15_15.txt - Instance 2,14,10,5,1474,1542
tai15_15.txt - Instance 2,3,13,7,1351,1358
tai15_15.txt - Instance 2,8,13,12,1474,1498
tai15_15.txt - Instance 2,1,11,1,1416,1427
tai15_15.txt - Instance 2,6,12,6,1460,1522
tai15_15.txt - Instance 2,0,10,1,1427,1470
tai15_15.txt - Instance 2,7,12,10,1328,1369
tai15_15.txt - Instance 2,6,13,4,1522,1607
tai15_15.txt - Instance 2,8,14,4,1607,1630
tai15_15.txt - Instance 2,2,11,9,1411,1490
tai15_15.txt - Instance 2,12,11,2,1460,1502
tai15_15.txt - Instance 2,3,14,2,1502,1506
tai15_15.txt - Instance 2,1,12,5,1542,1562
tai15_15.txt - Instance 2,13,12,0,1417,1453
tai15_15.txt - Instance 2,14,11,14,1542,1584
tai15_15.txt - Instance 2,7,13,1,1470,1481
tai15_15.txt - Instance 2,2,12,3,1490,1528
tai15_15.txt - Instance 2,13,13,8,1453,1506
tai15_15.txt - Instance 2,6,14,3,1607,1677
tai15_15.txt - Instance 2,0,11,2,1506,1514
tai15_15.txt - Instance 2,2,13,10,1528,1568
tai15_15.txt - Instance 2,0,12,12,1514,1604
tai15_15.txt - Instance 2,1,13,12,1604,1686
tai15_15.txt - Instance 2,0,13,6,1604,1625
tai15_15.txt - Instance 2,2,14,8,1568,1650
tai15_15.txt - Instance 2,12,12,7,1502,1504
tai15_15.txt - Instance 2,13,14,12,1686,1758
tai15_15.txt - Instance 2,7,14,4,1630,1724
tai15_15.txt - Instance 2,14,12,3,1677,1697
tai15_15.txt - Instance 2,1,14,0,1686,1709
tai15_15.txt - Instance 2,0,14,11,1625,1698
tai15_15.txt - Instance 2,14,13,13,1697,1727
tai15_15.txt - Instance 2,12,13,14,1584,1607
tai15_15.txt - Instance 2,12,14,3,1697,1750
tai15_15.txt - Instance 2,14,14,8,1727,1757
tai15_15.txt - Instance 3,5,0,5,0,83
tai15_15.txt - Instance 3,0,0,7,0,69
tai15_15.txt - Instance 3,9,0,9,0,27
tai15_15.txt - Instance 3,5,1,14,83,115
tai15_15.txt - Instance 3,11,0,0,0,78
tai15_15.txt - Instance 3,4,0,1,0,36
tai15_15.txt - Instance 3,8,0,14,115,184
tai15_15.txt - Instance 3,1,0,12,0,83
tai15_15.txt - Instance 3,4,1,8,36,85
tai15_15.txt - Instance 3,0,1,11,69,150
tai15_15.txt - Instance 3,1,1,1,83,134
tai15_15.txt - Instance 3,10,0,7,69,105
tai15_15.txt - Instance 3,6,0,5,83,112
tai15_15.txt - Instance 3,6,1,2,112,190
tai15_15.txt - Instance 3,9,1,0,78,82
tai15_15.txt - Instance 3,6,2,0,190,211
tai15_15.txt - Instance 3,5,2,2,190,196
tai15_15.txt - Instance 3,13,0,13,0,10
tai15_15.txt - Instance 3,8,1,11,184,197
tai15_15.txt - Instance 3,3,0,13,10,43
tai15_15.txt - Instance 3,11,1,8,85,143
tai15_15.txt - Instance 3,2,0,1,134,196
tai15_15.txt - Instance 3,14,0,1,196,269
tai15_15.txt - Instance 3,3,1,10,43,125
tai15_15.txt - Instance 3,7,0,4,0,12
tai15_15.txt - Instance 3,12,0,8,143,181
tai15_15.txt - Instance 3,2,1,2,196,243
tai15_15.txt - Instance 3,11,2,14,184,246
tai15_15.txt - Instance 3,7,1,7,105,179
tai15_15.txt - Instance 3,0,2,8,181,262
tai15_15.txt - Instance 3,2,2,9,243,336
tai15_15.txt - Instance 3,4,2,4,85,95
tai15_15.txt - Instance 3,13,1,2,243,329
tai15_15.txt - Instance 3,10,1,2,329,346
tai15_15.txt - Instance 3,8,2,0,211,244
tai15_15.txt - Instance 3,4,3,14,246,289
tai15_15.txt - Instance 3,5,3,12,196,209
tai15_15.txt - Instance 3,1,2,11,197,244
tai15_15.txt - Instance 3,1,3,9,336,351
tai15_15.txt - Instance 3,9,2,3,82,117
tai15_15.txt - Instance 3,3,2,6,125,205
tai15_15.txt - Instance 3,6,3,1,269,296
tai15_15.txt - Instance 3,6,4,8,296,313
tai15_15.txt - Instance 3,14,1,13,269,281
tai15_15.txt - Instance 3,0,3,3,262,324
tai15_15.txt - Instance 3,7,2,10,179,183
tai15_15.txt - Instance 3,11,3,12,246,289
tai15_15.txt - Instance 3,2,3,0,336,390
tai15_15.txt - Instance 3,9,3,10,183,263
tai15_15.txt - Instance 3,10,2,1,346,427
tai15_15.txt - Instance 3,12,1,12,289,375
tai15_15.txt - Instance 3,13,2,11,329,422
tai15_15.txt - Instance 3,3,3,2,346,376
tai15_15.txt - Instance 3,2,4,3,390,428
tai15_15.txt - Instance 3,8,3,9,351,398
tai15_15.txt - Instance 3,2,5,5,428,506
tai15_15.txt - Instance 3,0,4,12,375,455
tai15_15.txt - Instance 3,5,4,10,263,350
tai15_15.txt - Instance 3,14,2,0,390,404
tai15_15.txt - Instance 3,14,3,11,422,493
tai15_15.txt - Instance 3,4,4,6,289,358
tai15_15.txt - Instance 3,8,4,10,398,484
tai15_15.txt - Instance 3,6,5,14,313,356
tai15_15.txt - Instance 3,12,2,10,484,522
tai15_15.txt - Instance 3,1,4,6,358,447
tai15_15.txt - Instance 3,3,4,14,376,472
tai15_15.txt - Instance 3,7,3,1,427,430
tai15_15.txt - Instance 3,10,3,12,455,522
tai15_15.txt - Instance 3,9,4,12,522,571
tai15_15.txt - Instance 3,1,5,3,447,523
tai15_15.txt - Instance 3,14,4,2,493,496
tai15_15.txt - Instance 3,11,4,9,398,399
tai15_15.txt - Instance 3,8,5,5,506,537
tai15_15.txt - Instance 3,14,5,10,522,569
tai15_15.txt - Instance 3,11,5,5,537,593
tai15_15.txt - Instance 3,13,3,0,422,485
tai15_15.txt - Instance 3,4,5,5,593,665
tai15_15.txt - Instance 3,11,6,6,593,669
tai15_15.txt - Instance 3,5,5,1,430,524
tai15_15.txt - Instance 3,0,5,1,524,527
tai15_15.txt - Instance 3,0,6,13,527,565
tai15_15.txt - Instance 3,12,3,11,522,560
tai15_15.txt - Instance 3,10,4,3,523,570
tai15_15.txt - Instance 3,2,6,8,506,577
tai15_15.txt - Instance 3,12,4,14,560,643
tai15_15.txt - Instance 3,2,7,4,577,673
tai15_15.txt - Instance 3,14,6,4,673,757
tai15_15.txt - Instance 3,12,5,3,643,679
tai15_15.txt - Instance 3,9,5,13,571,617
tai15_15.txt - Instance 3,0,7,0,565,627
tai15_15.txt - Instance 3,1,6,2,523,575
tai15_15.txt - Instance 3,7,4,9,430,445
tai15_15.txt - Instance 3,9,6,5,665,749
tai15_15.txt - Instance 3,4,6,3,679,698
tai15_15.txt - Instance 3,4,7,2,698,763
